node_id,page_rank
21149,3.2749731150990095e-05
19548,5.0945480750121245e-05
19551,6.851153966725139e-05
19662,8.593673040284655e-05
29337,4.340182938337622e-05
28517,0.0001324008618233713
4610,0.00013637261924588363
29553,0.00018336349794417374
30853,4.18932293505432e-05
9216,3.418280163098907e-05
23506,8.789318829609887e-05
19319,6.017120688905658e-05
19320,6.267428500626642e-05
2327,0.00012774131209722722
29355,6.672860364839321e-05
6815,4.647732233380324e-05
6816,8.929758705019067e-05
16522,3.713976649234245e-05
25639,9.829291915899378e-05
4914,5.801227383977361e-05
20469,8.693927767651236e-05
7681,5.719255321141799e-05
27180,7.171653669719246e-05
14395,5.029698466922836e-05
18737,9.108740246765797e-05
17253,5.913152038909145e-05
27900,9.411692431597222e-05
16373,4.869509587247752e-05
29364,0.0001379796606791751
4745,6.252534979155576e-05
4746,3.585303086418584e-05
8721,3.7185217555215004e-05
9895,6.565344371855687e-05
3442,4.666716607348739e-05
1206,4.731874186327415e-05
5348,5.432869628005053e-05
10225,5.5294515772708095e-05
30301,5.3059836619203936e-05
20153,5.2922150144709144e-05
12629,3.662188292041678e-05
25173,9.648162721930168e-05
5157,9.441289432792079e-05
5156,5.2461683262988605e-05
20904,5.898913422914118e-05
20906,5.9789135624537066e-05
10436,2.8828181208116426e-05
28450,0.00011499649266181515
19672,6.982904004173505e-05
22726,7.162429215913852e-05
3572,7.526631513078073e-05
642,0.00010938287927980914
16130,6.100419537154976e-05
30695,4.6453947675007306e-05
952,9.998859307103574e-05
29481,0.00012976621976883867
10851,3.257885900754032e-05
29881,8.223429292376837e-05
2659,3.42462219098759e-05
15532,5.87490850054624e-05
10143,4.836305702670669e-05
30867,6.463432203345187e-05
23079,6.0236258991274476e-05
23081,6.010460527657721e-05
500,4.5596471839512355e-05
19340,6.388632251713721e-05
536,7.703118453072103e-05
16283,6.104261352414357e-05
25666,7.471374186796725e-05
25671,7.766150311318235e-05
3586,8.162292511879236e-05
30868,4.4948522438566825e-05
22186,6.215884479930549e-05
22151,6.259492443786967e-05
345,5.0427564108969914e-05
354,6.678121020531875e-05
25747,8.049583725553574e-05
25754,7.506845276210861e-05
26088,8.099355967596499e-05
26087,5.6045034342706016e-05
24881,6.54173682469892e-05
27243,7.008740562652953e-05
3350,8.75748852428408e-05
8604,4.963173629599459e-05
16491,5.233540703357198e-05
28494,5.1716381791753646e-05
18604,6.677270855610815e-05
18680,6.376008905641117e-05
18303,8.637661755767843e-05
18301,7.590178946459829e-05
30876,5.4729235816769355e-05
30877,8.197163875832967e-05
383,9.928973295681622e-05
28558,0.00010035970553077742
3607,5.193763415854259e-05
3608,5.100344892255535e-05
2384,5.14604600409497e-05
29582,7.106903951618955e-05
3027,4.571434790417463e-05
14283,6.275905537968376e-05
29239,0.00010798265675462818
20471,6.345453351804427e-05
20473,7.034564051390486e-05
5922,9.195626239932525e-05
25074,4.9007337165737516e-05
14039,5.404724205751151e-05
15888,6.283267512975013e-05
9416,7.497209684151893e-05
29520,0.00010642169995973936
4808,8.306040425268922e-05
4846,5.7710474394099146e-05
8162,5.8370444388471264e-05
23072,5.9277039184181326e-05
18802,7.176975902046067e-05
18803,7.106171161699358e-05
20922,5.568932789289109e-05
22964,5.7387715918947475e-05
106,0.00013108703017831105
19059,5.669576042973844e-05
7583,0.00012579776174845961
8027,7.022922699880739e-05
790,8.886344824865402e-05
791,5.643323243113241e-05
9321,7.726943431976145e-05
23561,7.353827906957726e-05
2644,8.332404018901037e-05
11495,4.637908241998976e-05
14836,0.00014053143558282258
14855,2.918689678420276e-05
9150,4.528147933882928e-05
31119,6.452579477911213e-05
3097,9.316858735039377e-05
9646,5.295664165965663e-05
