node_id,eig_centr
4541,7.917207652099e-14
9993,2.7563686840304068e-14
23365,3.93963495222493e-10
23366,4.3548904439666795e-10
1190,1.354206196371413e-12
19689,2.4773815348774794e-12
8712,1.6058722710485268e-07
23254,7.393564895852927e-08
5461,2.441404329051729e-17
21999,6.153630915284838e-17
5452,1.1988634089977053e-09
7839,3.7370441810053276e-10
8309,1.6606546110478584e-12
28829,3.2394744596202786e-13
16548,8.739834278659959e-10
16549,7.65998225955642e-10
8353,9.95727067313898e-17
23090,1.429747340281187e-16
2068,2.1317795962739251e-13
18734,7.50782078050594e-14
5045,1.7066836623254528e-18
20631,5.535395257017008e-18
27621,4.742685464594533e-13
16101,5.182715701887079e-13
10296,6.682129863796419e-16
23974,2.8787407500411483e-15
5255,6.0696473896472105e-21
5256,1.755624189595718e-20
4385,5.349706734434735e-10
24739,1.4450088856032963e-10
25387,1.3246933536994448e-23
25294,7.18116875880408e-24
6055,4.531950878687612e-15
7421,1.1578180122433316e-15
1723,7.104726530620094e-17
10491,1.4568881518205973e-16
13653,2.836221079018414e-06
21840,5.346616372626379e-07
13642,1.6182252577922984e-19
21149,4.8655687925077956e-20
19548,9.573674456318496e-19
19551,1.8696057321864e-18
19662,2.2320620149875983e-12
29337,1.975127926503941e-12
28517,2.365911098255209e-12
4610,9.117272573418467e-13
29553,0.304898641040795
30853,0.05698989509161278
9216,2.1045063731845118e-18
23506,7.441598803739209e-18
19319,7.979908456606852e-10
19320,7.117179200424497e-10
2327,8.061885209110275e-17
29355,2.8676385855290755e-17
6815,2.5454834254151527e-12
6816,8.335073506278329e-13
16522,1.3219314685777967e-27
25639,3.1206237435106664e-27
4914,6.134760215439758e-15
20469,2.3971155241035883e-14
7681,8.87327055886012e-14
27180,3.5468748480719893e-13
14395,1.157034042424634e-15
18737,3.4775381608449647e-16
17253,1.414406380109333e-19
27900,5.147574096776838e-20
16373,8.022788614676854e-12
29364,3.250586870857531e-11
4745,1.5039545613157597e-13
4746,3.7915737764446886e-14
8721,1.7423369921259957e-16
9895,6.604398060974739e-16
3442,9.37923999389322e-10
1206,5.141205492900546e-10
5348,1.5762049491149844e-19
10225,4.175003776894214e-19
30301,1.937663654869788e-14
20153,2.0214537500563862e-14
12629,2.3180645259765018e-12
25173,1.0148211090716342e-11
5157,6.684796080799092e-13
5156,1.8219421037858277e-13
20904,1.2020608938094648e-11
20906,2.076578256788615e-11
10436,0.008985774522646029
28450,0.051484214048488595
19672,3.229258273254145e-16
22726,2.7247134142842177e-16
3572,1.2779109759912445e-09
642,1.9944853079453787e-09
16130,4.922208675100517e-10
30695,1.2513358219708604e-10
952,6.331658071857102e-09
29481,7.985596269731246e-09
10851,1.854955238849876e-11
29881,1.0618129992229489e-10
2659,6.566860193079902e-05
15532,0.00037623042569977114
10143,6.357121235059881e-17
30867,2.0974294549602e-16
23079,2.206814494214912e-17
23081,2.2052051601327816e-17
500,1.0435253011464887e-07
19340,4.02192680728172e-07
536,5.351036723092609e-15
16283,1.3129867097317426e-15
25666,9.841184670093984e-15
25671,3.065586753435236e-14
3586,3.2212799261398957e-09
30868,1.2162250495087295e-08
22186,3.981791450139882e-11
22151,2.7642391403416267e-11
345,6.192873347672857e-09
354,3.075953826146012e-08
25747,1.2224659034439102e-20
25754,3.17862677190874e-20
26088,4.477464175449354e-27
26087,3.2299485179520015e-27
24881,1.471407685618934e-10
27243,4.373824987158723e-11
3350,9.730512017707092e-17
8604,3.3544321324273945e-17
16491,5.530129219756652e-13
28494,1.0887067065711479e-12
18604,9.419744976037268e-14
18680,1.862701766908237e-13
18303,3.5723984956914373e-13
18301,4.967447456999712e-13
30876,9.100322757091974e-06
30877,5.0168518582457986e-05
383,1.0396920427544014e-13
28558,2.536755918583683e-13
3607,9.532060461309971e-17
3608,3.1693264007314745e-16
2384,2.1507674138024807e-19
29582,5.439961797884142e-19
3027,3.1877405185073153e-13
14283,4.345408268184782e-14
29239,1.7501105216683993e-13
20471,2.1745117286900437e-06
20473,1.0265450920851278e-06
5922,3.136203620020666e-14
25074,8.826287646844955e-15
14039,1.9252582763757935e-15
15888,5.845881578104018e-16
9416,1.5106231465953484e-16
29520,5.434232429028799e-16
4808,2.6490270348814653e-21
4846,3.6171479180754805e-21
8162,6.3513318902842855e-18
23072,1.7379278709715116e-17
18802,5.597789614233218e-19
18803,2.8201903008141853e-19
20922,2.5371980419021512e-12
22964,6.65460065320295e-13
106,1.7852886993312303e-05
19059,5.522930324253576e-06
7583,3.8771356087315276e-12
8027,1.3541137600382817e-12
790,6.063687349067554e-14
791,1.7052946474628302e-14
9321,6.851255175981086e-16
23561,6.349838898803494e-16
2644,2.404324683155592e-16
11495,1.784526764893327e-16
14836,2.914259071524757e-16
14855,8.370087813020492e-17
9150,1.2643984718599477e-10
31119,4.983549625777291e-10
3097,1.731863913920139e-12
9646,4.2048833444380726e-13
549,1.96495318645499e-18
15818,6.677001226168468e-19
19799,1.441343892523759e-15
31138,3.8034233417809466e-15
2854,9.087880209600287e-17
2856,3.0898054572457794e-17
3412,2.047018833406632e-10
29063,3.721908907137181e-11
30919,2.665986157950689e-10
11904,1.8513387091357884e-10
4294,8.272187529050276e-10
31218,0.021620307496703076
29701,0.06688245869550576
3709,1.9503915692710036e-15
3740,6.743658510182558e-16
22881,4.399981581283381e-10
7721,1.1189119325991844e-09
19401,2.169853973820846e-06
22984,4.9367961606787e-07
18285,6.672462944345943e-14
23854,2.42520495548962e-13
1225,3.402549546579806e-07
20494,7.459026492490807e-08
8491,2.4117337705895953e-13
23173,1.3349025177448036e-12
17388,1.797407609412378e-18
25623,5.011118965950417e-18
23178,5.821862528025001e-14
24029,3.8472836259239787e-11
10421,2.1347523889176432e-10
22212,5.467429233920628e-12
22253,2.2580505910873272e-12
7170,8.391372992548616e-14
31287,8.782259487825568e-14
